window_id,anchor_day,field_a,field_b,marker_family,marker_name,marker_column,median_delta_B_minus_A,q05_delta,q95_delta,q025_delta,q975_delta,prob_A_earlier_or_smaller,prob_B_earlier_or_smaller,prob_same_day_or_equal,pass90_A_leads_or_smaller,pass95_A_leads_or_smaller,pass90_B_leads_or_smaller,pass95_B_leads_or_smaller,minimum_equivalence_margin_90,minimum_equivalence_margin_95,marker_relation_label,marker_relation_interpretation
W002,45,V,H,threshold,t10,t10_day,-3.0,-7.0,0.0,-7.0,1.0,0.029,0.908,0.063,False,False,False,False,7.0,7.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,Je,threshold,t10,t10_day,3.0,-10.0,7.0,-10.0,7.0,0.733,0.209,0.058,False,False,False,False,10.0,10.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,Jw,threshold,t10,t10_day,-1.0,-5.049999999999997,2.0,-6.0,3.0,0.201,0.619,0.18,False,False,False,False,5.049999999999997,6.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,H,Je,threshold,t10,t10_day,6.0,-5.0,9.0,-6.0,10.0,0.816,0.179,0.005,False,False,False,False,9.0,10.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,H,Jw,threshold,t10,t10_day,2.0,0.0,4.0,0.0,4.0,0.868,0.024,0.108,False,False,False,False,4.0,4.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,Je,Jw,threshold,t10,t10_day,-4.0,-8.0,7.0,-8.024999999999999,8.0,0.198,0.791,0.011,False,False,False,False,8.0,8.024999999999999,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,V,threshold,t15,t15_day,1.0,-1.0,4.0,-2.0,5.0,0.617,0.124,0.259,False,False,False,False,4.0,5.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,H,threshold,t15,t15_day,-3.0,-6.0,1.0,-6.0,1.0,0.06,0.855,0.085,False,False,False,False,6.0,6.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,Je,threshold,t15,t15_day,4.0,0.0,7.0,-5.024999999999999,8.0,0.937,0.036,0.027,False,False,False,False,7.0,8.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,Jw,threshold,t15,t15_day,-1.0,-4.0,3.0,-4.0,4.0,0.267,0.549,0.184,False,False,False,False,4.0,4.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,H,threshold,t15,t15_day,-4.0,-7.0,0.0,-8.0,1.0,0.034,0.93,0.036,False,False,False,False,7.0,8.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,Je,threshold,t15,t15_day,3.0,-2.0,6.0,-7.0,7.0,0.847,0.075,0.078,False,False,False,False,6.0,7.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,Jw,threshold,t15,t15_day,-2.0,-6.0,2.0,-7.0,3.0,0.166,0.713,0.121,False,False,False,False,6.0,7.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,H,Je,threshold,t15,t15_day,7.0,3.0,10.0,-5.0,10.0,0.97,0.029,0.001,True,False,False,False,10.0,10.0,A_leads,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,H,Jw,threshold,t15,t15_day,2.0,0.0,5.0,0.0,5.024999999999977,0.911,0.02,0.069,False,False,False,False,5.0,5.024999999999977,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,Je,Jw,threshold,t15,t15_day,-5.0,-8.0,1.0,-8.0,6.0,0.053,0.928,0.019,False,False,False,False,8.0,8.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,V,threshold,t20,t20_day,1.0,-1.0,4.0,-2.0,4.024999999999977,0.675,0.099,0.226,False,False,False,False,4.0,4.024999999999977,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,H,threshold,t20,t20_day,-3.0,-6.0,1.0,-7.0,1.0249999999999773,0.051,0.887,0.062,False,False,False,False,6.0,7.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,Je,threshold,t20,t20_day,4.0,1.0,7.0,0.0,7.0,0.954,0.02,0.026,True,False,False,False,7.0,7.0,A_leads,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,Jw,threshold,t20,t20_day,-1.0,-4.0,3.0,-4.0,5.0,0.254,0.584,0.162,False,False,False,False,4.0,5.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,H,threshold,t20,t20_day,-4.0,-8.0,0.0,-8.0,1.0,0.028,0.945,0.027,False,False,False,False,8.0,8.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,Je,threshold,t20,t20_day,3.0,-1.0,6.0,-2.0,7.0,0.845,0.075,0.08,False,False,False,False,6.0,7.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,Jw,threshold,t20,t20_day,-2.0,-6.0,2.0,-7.0,3.0,0.147,0.727,0.126,False,False,False,False,6.0,7.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,H,Je,threshold,t20,t20_day,7.0,3.0,10.0,2.9750000000000014,10.0,0.992,0.006,0.002,True,True,False,False,10.0,10.0,A_leads,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,H,Jw,threshold,t20,t20_day,2.0,0.0,6.0,-1.0,7.0,0.921,0.03,0.049,False,False,False,False,6.0,7.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,Je,Jw,threshold,t20,t20_day,-5.0,-8.0,0.0,-8.0,1.0,0.042,0.92,0.038,False,False,False,False,8.0,8.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,V,threshold,t25,t25_day,1.0,-1.0,4.0,-1.0249999999999986,4.024999999999977,0.695,0.087,0.218,False,False,False,False,4.0,4.024999999999977,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,H,threshold,t25,t25_day,-3.0,-7.0,1.0,-8.0,2.0,0.055,0.907,0.038,False,False,False,False,7.0,8.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,Je,threshold,t25,t25_day,4.0,0.9500000000000028,7.0,0.0,7.0,0.95,0.022,0.028,True,False,False,False,7.0,7.0,A_leads,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,Jw,threshold,t25,t25_day,-1.0,-4.0,4.0,-5.0,5.0,0.262,0.586,0.152,False,False,False,False,4.0,5.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,H,threshold,t25,t25_day,-5.0,-8.0,0.0,-8.0,1.0249999999999773,0.038,0.945,0.017,False,False,False,False,8.0,8.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,Je,threshold,t25,t25_day,2.0,-1.0,6.0,-2.0,6.0,0.807,0.082,0.111,False,False,False,False,6.0,6.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,Jw,threshold,t25,t25_day,-2.0,-6.0,2.0,-7.0,3.0249999999999773,0.161,0.732,0.107,False,False,False,False,6.0,7.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,H,Je,threshold,t25,t25_day,7.0,3.0,10.0,2.0,10.0,0.987,0.01,0.003,True,True,False,False,10.0,10.0,A_leads,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,H,Jw,threshold,t25,t25_day,2.0,0.0,6.0,-1.0,7.024999999999977,0.91,0.033,0.057,False,False,False,False,6.0,7.024999999999977,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,Je,Jw,threshold,t25,t25_day,-5.0,-8.0,1.0,-8.0,2.0,0.052,0.905,0.043,False,False,False,False,8.0,8.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,V,threshold,t30,t30_day,1.0,-1.0,4.0,-2.0,4.0,0.741,0.087,0.172,False,False,False,False,4.0,4.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,H,threshold,t30,t30_day,-3.0,-7.0,1.0,-8.0,2.0,0.057,0.917,0.026,False,False,False,False,7.0,8.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,Je,threshold,t30,t30_day,4.0,0.0,7.0,-1.0,7.0,0.929,0.031,0.04,False,False,False,False,7.0,7.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,Jw,threshold,t30,t30_day,-1.0,-4.0,4.0,-5.0,5.0,0.298,0.548,0.154,False,False,False,False,4.0,5.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,H,threshold,t30,t30_day,-5.0,-8.0,0.0,-9.0,2.0,0.044,0.938,0.018,False,False,False,False,8.0,9.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,Je,threshold,t30,t30_day,2.0,-1.0,6.0,-2.0,6.0,0.787,0.101,0.112,False,False,False,False,6.0,6.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,Jw,threshold,t30,t30_day,-2.0,-6.0,3.0,-7.0,3.0,0.18,0.719,0.101,False,False,False,False,6.0,7.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,H,Je,threshold,t30,t30_day,7.0,3.0,10.0,1.0,10.0,0.977,0.019,0.004,True,True,False,False,10.0,10.0,A_leads,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,H,Jw,threshold,t30,t30_day,3.0,0.0,7.0,-2.0,8.0,0.909,0.047,0.044,False,False,False,False,7.0,8.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,Je,Jw,threshold,t30,t30_day,-4.0,-8.0,1.0,-8.0,2.0,0.063,0.896,0.041,False,False,False,False,8.0,8.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,V,threshold,t35,t35_day,1.0,-1.0,4.0,-2.0,4.0,0.76,0.075,0.165,False,False,False,False,4.0,4.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,H,threshold,t35,t35_day,-4.0,-8.0,1.0,-8.0,3.0,0.068,0.902,0.03,False,False,False,False,8.0,8.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,Je,threshold,t35,t35_day,4.0,0.0,7.0,-1.0,7.0,0.918,0.039,0.043,False,False,False,False,7.0,7.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,Jw,threshold,t35,t35_day,0.0,-4.0,4.0,-5.0,6.0,0.344,0.499,0.157,False,False,False,False,4.0,6.0,not_resolved,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,H,threshold,t35,t35_day,-5.0,-8.0,1.0,-9.0,3.0,0.054,0.931,0.015,False,False,False,False,8.0,9.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,Je,threshold,t35,t35_day,2.0,-1.0,5.0,-2.0,6.0,0.744,0.121,0.135,False,False,False,False,5.0,6.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,Jw,threshold,t35,t35_day,-2.0,-6.0,3.0,-6.0,4.0,0.197,0.692,0.111,False,False,False,False,6.0,6.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,H,Je,threshold,t35,t35_day,7.0,3.0,10.0,0.0,10.0,0.972,0.023,0.005,True,False,False,False,10.0,10.0,A_leads,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,H,Jw,threshold,t35,t35_day,3.0,-1.0,8.0,-3.0,8.0,0.908,0.055,0.037,False,False,False,False,8.0,8.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,Je,Jw,threshold,t35,t35_day,-4.0,-8.0,1.0,-8.0,2.0,0.078,0.858,0.064,False,False,False,False,8.0,8.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,V,threshold,t40,t40_day,2.0,-1.0,4.0,-1.0249999999999986,4.0,0.746,0.075,0.179,False,False,False,False,4.0,4.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,H,threshold,t40,t40_day,-4.0,-8.0,3.0,-8.0,8.0,0.092,0.886,0.022,False,False,False,False,8.0,8.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,Je,threshold,t40,t40_day,3.0,0.0,7.0,-1.0,7.0,0.894,0.042,0.064,False,False,False,False,7.0,7.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,Jw,threshold,t40,t40_day,0.0,-4.0,5.0,-5.0,6.0,0.377,0.455,0.168,False,False,False,False,5.0,6.0,not_resolved,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,H,threshold,t40,t40_day,-6.0,-9.0,2.0,-9.0,6.0,0.076,0.908,0.016,False,False,False,False,9.0,9.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,Je,threshold,t40,t40_day,2.0,-2.0,5.0,-2.0,6.0,0.715,0.121,0.164,False,False,False,False,5.0,6.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,Jw,threshold,t40,t40_day,-2.0,-6.0,3.0,-6.0,4.0,0.216,0.674,0.11,False,False,False,False,6.0,6.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,H,Je,threshold,t40,t40_day,7.0,1.0,10.0,-4.0,10.0,0.952,0.038,0.01,True,False,False,False,10.0,10.0,A_leads,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,H,Jw,threshold,t40,t40_day,4.0,-2.0,8.0,-7.024999999999999,9.0,0.893,0.074,0.033,False,False,False,False,8.0,9.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,Je,Jw,threshold,t40,t40_day,-3.0,-7.0,2.0,-8.0,2.0,0.101,0.841,0.058,False,False,False,False,7.0,8.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,V,threshold,t45,t45_day,2.0,-1.0,4.0,-1.0,4.0,0.759,0.077,0.164,False,False,False,False,4.0,4.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,H,threshold,t45,t45_day,-4.0,-8.0,7.0,-8.0,9.0,0.117,0.859,0.024,False,False,False,False,8.0,9.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,Je,threshold,t45,t45_day,3.0,0.0,7.0,-1.0,8.0,0.89,0.043,0.067,False,False,False,False,7.0,8.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,Jw,threshold,t45,t45_day,0.0,-4.0,5.0,-5.0,6.0,0.433,0.435,0.132,False,False,False,False,5.0,6.0,not_resolved,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,H,threshold,t45,t45_day,-6.0,-9.0,5.0,-10.0,7.0,0.094,0.893,0.013,False,False,False,False,9.0,10.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,Je,threshold,t45,t45_day,1.0,-2.0,5.0,-2.0249999999999986,6.0,0.689,0.155,0.156,False,False,False,False,5.0,6.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,V,Jw,threshold,t45,t45_day,-2.0,-6.0,3.0,-7.0,4.0,0.237,0.642,0.121,False,False,False,False,6.0,7.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,H,Je,threshold,t45,t45_day,7.0,-2.049999999999997,10.0,-5.0,11.0,0.928,0.063,0.009,False,False,False,False,10.0,11.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,H,Jw,threshold,t45,t45_day,4.0,-5.0,8.0,-8.0,9.0,0.875,0.095,0.03,False,False,False,False,8.0,9.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,Je,Jw,threshold,t45,t45_day,-3.0,-7.0,2.0,-8.0,2.0,0.126,0.811,0.063,False,False,False,False,7.0,8.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,V,threshold,t50,t50_day,2.0,-1.0,4.0,-1.0,4.0,0.752,0.071,0.177,False,False,False,False,4.0,4.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,H,threshold,t50,t50_day,-4.0,-8.0,9.0,-8.0,10.0,0.159,0.816,0.025,False,False,False,False,9.0,10.0,B_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,Je,threshold,t50,t50_day,3.0,0.0,7.0,-1.0,8.0,0.887,0.04,0.073,False,False,False,False,7.0,8.0,A_tendency,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
W002,45,P,Jw,threshold,t50,t50_day,0.0,-4.0,5.0,-4.0,6.024999999999977,0.455,0.397,0.148,False,False,False,False,5.0,6.024999999999977,not_resolved,"For timing markers, positive delta means field_a earlier than field_b. For duration/tail markers, positive delta means field_a is smaller/shorter."
